M.Sampath,Miley,Sampath,miley.sampath@gmail.com,M.S.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
G.Phillip,George,Phillip,george.phillip@hotmail.com,G.P.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
K.Jagdeo,Kimberly,Jagdeo,kimberly.jagdeo@yahoo.com,K.J.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
J.Mahadeo,Johnny,Mahadeo,johnny.mahadeo@gmail.com,J.M.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
M.Williams,Margaret,Williams,margaret.williams@outlook.com,M.W.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
D.Spears,David,Spears,david.spears@gmail.com,D.S.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
V.Sahadeo,Veera,Sahadeo,veera.sahadeo@outlook.com,V.S.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
R.Lowtan,Raj,Lowtan,raj.lowtan@yahoo.com,R.L.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
S.Hays,Shanice,Hays,shanice.hays@gmail.com,S.H.123,Chemical and Processing Engineering,B.Sc.,Chemical Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
M.Mungal,Micheal,Mungal,micheal.mungal@live.com,M.M.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
R.Narine,Rose,Narine,rose.narine@gmail.com,R.N.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
T.Shaw,Trevon,Shaw,trevon.shaw@live.com,T.S.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
A.Ramdass,Alaya,Ramdass,alaya.ramdass@outlook.com,A.R.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
C.Brown,Carlton,Brown,carlton.brown@hotmail.com,C.B.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
A.Ragoonath,Adeele,Ragoonath,adeele.ragoonath@gmail.com,A.R.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
C.Williams,Conner,Williams,conner.williams@outlook.com,C.W.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
E.Alleyne,Emma,Alleyne,emma.alleyne@hotmail.com,E.A.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
A.Charles,Adam,Charles,adam.charles@gmail.com,A.C.123,Petroleum Geoscience,B.Sc.,Chemical Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
S.Sankar,Shannan,Sankar,shannan.sankar@gmail.com,S.S.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
H.Thomas,Henry,Thomas,henry.thomas@outlook.com,H.T.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
T.Richards,Tyler,Richards,tyler.richards@outlook.com,T.R.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
D.Ali,Daniel,Ali,daniel.ali@hotmail.com,D.A.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
C.Sookdeo,Camilla,Sookdeo,camilla.sookdeo@gmail.com,C.S.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
K.Ramlal,Keron,Ramlal,keron.ramlal@yahoo.com,K.R.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
K.Ramnath,Kyra,Ramnath,kyra.ramnath@outlook.com,K.R.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
W.John,William,John,william.john@live.com,W.J.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
J.Andrews,Judith,Andrews,judith.andrews@gmail.com,J.A.123,Civil Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
L.James,Liam,James,liam.james@gmail.com,L.J.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
K.Ramkissoon,Kameela,Ramkissoon,kameela.ramkissoon@live.com,K.R.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
N.Lewis,Noah,Lewis,noah.lewis@hotmail.com,N.L.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
S.Roberts,Sandra,Roberts,sandra.roberts@outlook.com,S.R.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
R.Rampersad,Rajeev,Rampersad,rajeev.rampersad@gmail.com,R.R.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
G.Rampersad,Gloria,Rampersad,gloria.rampersad@yahoo.com,G.R.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
S.Khan,Sanjeev,Khan,sanjeev.khan@outlook.com,S.K.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
L.Singh,Lily,Singh,lily.singh@gmail.com,L.S.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
L.Alexander,Lucas,Alexander,lucas.alexander@hotmail.com,L.A.123,Civil with Environmental Engineering,B.Sc.,Civil and Environmental Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
J.Allen,Janice,Allen,janice.allen@yahoo.com,J.A.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
O.Edwards,Oliver,Edwards,oliver.edwards@gmail.com,O.E.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
M.Lall,Mary,Lall,mary.lall@outlook.com,M.L.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
E.Phillip,Elijah,Phillip,elijah.phillip@live.com,E.P.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
C.Khan,Candice,Khan,candice.khan@gmail.com,C.K.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
A.Persad,Avinash,Persad,avinash.persad@hotmail.com,A.P.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
A.Boodram,Avisha,Boodram,avisha.boodram@yahoo.com,A.B.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
N.Hosein,Nicholas,Hosein,nicholas.hosein@gmail.com,N.H.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
B.Maraj,Brandon,Maraj,brandon.maraj@hotmail.com,B.M.123,Electrical and Computer Engineering,B.Sc.,Electrical and Computer Engineering,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
M.Chen,Madaline,Chen,madaline.chen@live.com,M.C.123,Geomatics,B.Sc.,Geomatics Engineering and Land Management,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
B.Chang,Brenton,Chang,brenton.chang@hotmail.com,B.C.123,Geomatics,B.Sc.,Geomatics Engineering and Land Management,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
M.Tai,Michelle,Tai,michelle.tai@gmail.com,M.T.123,Geomatics,B.Sc.,Geomatics Engineering and Land Management,Engineering,2020,https://facebook.com,https://instagram.com,https://linkedin.com
K.Ragoonanan,Kris,Ragoonanan,kris.ragoonanan@hotmail.com,K.R.123,Geomatics,B.Sc.,Geomatics Engineering and Land Management,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
H.Mahadeo,Heather,Mahadeo,heather.mahadeo@gmail.com,H.M.123,Geomatics,B.Sc.,Geomatics Engineering and Land Management,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
C.Fraser,Chris,Fraser,chris.fraser@gmail.com,C.F.123,Geomatics,B.Sc.,Geomatics Engineering and Land Management,Engineering,2021,https://facebook.com,https://instagram.com,https://linkedin.com
W.Sooknanan,Wendy,Sooknanan,wendy.sooknanan@hotmail.com,W.S.123,Geomatics,B.Sc.,Geomatics Engineering and Land Management,Engineering,2022,https://facebook.com,https://instagram.com,https://linkedin.com
